round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,16,83,7,0,5,1.0
2,100,14,154,35,0,29,1.0
3,100,11,234,45,0,35,1.0
4,100,9,322,47,0,35,1.0
5,100,8,403,57,0,35,1.0
6,100,7,479,69,0,43,1.0
7,100,8,567,75,0,43,1.0
8,100,9,653,77,1,43,0.9908116385911179
9,100,9,736,88,2,48,0.96875
10,100,9,822,92,2,48,0.9720194647201946
11,100,9,910,98,2,48,0.9747252747252747
12,100,9,991,107,2,55,0.9767911200807265
13,100,9,1081,109,2,55,0.9787234042553191
14,100,9,1167,116,3,58,0.9734361610968295
15,100,9,1249,122,3,58,0.9751801441152922
16,100,9,1334,128,3,58,0.9767616191904048
17,100,9,1418,130,4,58,0.9696755994358252
18,100,9,1504,134,4,58,0.9714095744680851
19,100,9,1585,147,4,65,0.9728706624605679
20,100,9,1660,164,4,76,0.9740963855421687
21,100,9,1741,185,4,91,0.9753015508328546
22,100,9,1804,228,4,128,0.9761640798226164
23,100,9,1880,239,4,139,0.9771276595744681
24,100,9,1968,243,4,139,0.978150406504065
25,100,9,2049,251,4,141,0.9790141532454856
26,100,9,2137,257,5,141,0.9770706598034627
27,100,9,2220,259,5,141,0.9779279279279279
28,100,9,2305,265,5,141,0.9787418655097614
29,100,9,2382,279,5,149,0.9794290512174643
30,100,9,2472,281,5,149,0.9801779935275081
31,100,9,2556,288,5,156,0.980829420970266
32,100,9,2636,297,6,163,0.9749620637329287
33,100,9,2720,301,6,163,0.975735294117647
34,100,9,2809,301,7,163,0.9740121039515842
35,100,9,2900,301,7,163,0.9748275862068966
36,100,9,2982,311,7,169,0.9755197853789404
37,100,9,3070,315,7,169,0.9762214983713355
38,100,9,3150,333,8,185,0.974920634920635
39,100,9,3236,337,8,185,0.9755871446229913
40,100,9,3301,363,10,205,0.9706149651620721
41,100,9,3377,380,11,216,0.9689073141841872
42,100,9,3462,388,11,216,0.9696707105719238
43,100,9,3547,390,11,216,0.9703975190301664
44,100,9,3622,403,11,227,0.9710104914411927
45,100,9,3708,407,11,227,0.9716828478964401
46,100,9,3789,416,11,230,0.9722882026920031
47,100,9,3871,424,11,236,0.972875226039783
48,100,9,3953,432,11,238,0.9734378952694156
49,100,9,4042,436,12,238,0.9715487382483918
50,100,9,4127,440,12,238,0.9721347225587594
51,100,9,4195,484,12,278,0.9725864123957092
52,100,9,4281,490,12,278,0.9731371174959121
53,100,9,4364,500,12,284,0.9736480293308891
54,100,9,4451,502,14,284,0.9725904291170524
55,100,9,4540,504,14,284,0.9731277533039647
56,100,9,4621,512,14,288,0.973598788141095
57,100,9,4705,518,14,288,0.9740701381509033
58,100,9,4786,526,15,288,0.9724195570413706
59,100,9,4875,530,15,288,0.9729230769230769
60,100,9,4960,536,15,288,0.9733870967741935
61,100,9,5041,552,15,302,0.9738147193017258
62,100,9,5123,560,15,308,0.9742338473550654
63,100,9,5209,564,16,308,0.9740833173353811
64,100,9,5287,593,16,331,0.974465670512578
65,100,9,5371,599,16,331,0.9748650158257308
66,100,9,5455,609,16,331,0.9752520623281393
67,100,9,5538,615,16,331,0.9756229685807151
68,100,9,5627,619,16,331,0.9760085303003376
69,100,9,5715,621,18,331,0.9744531933508311
70,100,9,5791,638,19,340,0.9727162838887929
71,100,9,5878,646,19,340,0.9731201088805717
72,100,9,5963,656,20,340,0.9719939627704176
73,100,9,6051,662,21,340,0.9712444224095191
74,100,9,6138,664,21,340,0.9716520039100685
75,100,9,6223,668,21,340,0.9720392093845412
76,100,9,6313,668,21,340,0.9724378267067955
77,100,9,6400,672,21,340,0.9728125
78,100,9,6463,701,21,365,0.9730775181804115
79,100,9,6550,709,21,365,0.9734351145038168
80,100,9,6636,711,23,365,0.9719710669077758
81,100,9,6723,719,23,365,0.9723337795626952
82,100,9,6807,725,23,365,0.9726751873071838
83,100,9,6894,729,23,365,0.9730200174064404
84,100,9,6978,735,25,365,0.9707652622527945
85,100,9,7060,751,25,375,0.9711048158640226
86,100,9,7137,767,25,381,0.971416561580496
87,100,9,7214,810,25,422,0.971721652342667
88,100,9,7297,816,25,422,0.9720433054680006
89,100,9,7384,818,25,422,0.9723726977248104
90,100,9,7471,824,25,422,0.9726944184178825
91,100,9,7549,838,25,430,0.9729765531858524
92,100,9,7615,861,25,449,0.9732107682206173
93,100,9,7691,874,25,460,0.9734754908334416
94,100,9,7773,880,26,464,0.9718255499807025
95,100,9,7855,884,26,464,0.9721196690006365
96,100,9,7942,890,26,464,0.9724250818433644
97,100,9,8031,894,27,464,0.9718590461959905
98,100,9,8108,904,27,472,0.9721262950172669
99,100,9,8187,917,27,483,0.9723952607792842
100,100,9,8270,921,28,483,0.9724304715840387
101,100,9,8335,939,28,499,0.9726454709058189
102,100,9,8408,953,28,509,0.972882968601332
103,100,9,8475,985,28,539,0.9730973451327434
104,100,9,8563,987,28,539,0.9733738175872941
105,100,9,8649,991,29,539,0.9728292288125795
106,100,9,8736,999,29,539,0.9730998168498168
107,100,9,8810,1013,29,551,0.9733257661748014
108,100,9,8897,1013,29,551,0.9735866022254692
109,100,9,8983,1015,29,551,0.9738394745630635
110,100,9,9052,1046,29,580,0.9740388864339372
111,100,9,9126,1062,29,590,0.9742493973263204
112,100,9,9199,1097,29,623,0.9744537449722795
113,100,9,9280,1103,29,623,0.974676724137931
114,100,9,9364,1124,30,642,0.9745835113199487
115,100,9,9446,1137,30,643,0.9748041499047215
116,100,9,9531,1139,30,643,0.975028853215822
117,100,9,9597,1172,30,676,0.975200583515682
118,100,9,9686,1176,30,676,0.9754284534379517
119,100,9,9773,1180,30,676,0.9756471912411747
120,100,9,9838,1205,30,699,0.9758080910754219
121,100,9,9918,1220,30,704,0.9760032264569469
122,100,9,9994,1235,30,715,0.9761857114268561
123,100,9,10078,1247,30,715,0.9763842032149236
124,100,9,10163,1251,30,715,0.9765817179966545
125,100,9,10252,1255,32,715,0.9757120561841592
126,100,9,10329,1271,32,721,0.9758931164681963
127,100,9,10410,1280,33,724,0.9758885686839577
128,100,9,10494,1280,33,724,0.976081570421193
129,100,9,10582,1286,33,724,0.9762804762804763
130,100,9,10666,1290,33,724,0.9764672792049504
131,100,9,10751,1294,33,724,0.9766533345735281
132,100,9,10830,1320,33,746,0.9768236380424746
133,100,9,10914,1325,33,749,0.9770020157595749
134,100,9,10996,1334,33,756,0.9771735176427792
135,100,9,11077,1362,33,784,0.9773404351358671
136,100,9,11164,1366,33,784,0.9775170189896094
137,100,9,11237,1381,33,795,0.977663077333808
138,100,9,11321,1383,34,795,0.9772988251921209
139,100,9,11411,1385,34,795,0.9774778722285514
140,100,9,11488,1401,35,807,0.9773676880222841
141,100,9,11565,1411,35,813,0.9775183744055339
142,100,9,11644,1426,35,818,0.9776709034695981
143,100,9,11733,1430,35,818,0.9778402795533964
144,100,9,11815,1453,36,839,0.977147693609818
145,100,9,11899,1463,36,839,0.9773090175645012
146,100,9,11987,1465,37,839,0.9768916326019855
147,100,9,12075,1469,37,839,0.9770600414078675
148,100,9,12164,1473,37,839,0.9772278855639592
149,100,9,12252,1479,38,839,0.9768201110022854
150,100,9,12335,1506,38,862,0.9769760843129307
151,100,9,12387,1539,39,891,0.9761847097763785
152,100,9,12472,1549,39,891,0.9763470173187941
153,100,9,12556,1555,39,891,0.9765052564510991
154,100,9,12641,1559,40,891,0.9760303773435646
155,100,9,12732,1559,40,891,0.9762016965127238
156,100,9,12815,1572,40,902,0.9763558330081935
157,100,9,12896,1578,40,906,0.9765043424317618
158,100,9,12973,1588,40,912,0.9766437986587528
159,100,9,13059,1594,40,912,0.9767976108430967
160,100,9,13143,1594,40,912,0.9769459027619265
161,100,9,13231,1600,40,912,0.9770992366412213
162,100,9,13319,1606,40,912,0.9772505443351603
163,100,9,13401,1628,40,932,0.9773897470338034
164,100,9,13489,1632,40,932,0.9775372525761732
165,100,9,13569,1650,40,946,0.9776696882600044
166,100,9,13652,1654,41,946,0.9770729563433929
167,100,9,13733,1664,41,950,0.9772081846646763
168,100,9,13815,1668,41,950,0.9773434672457474
169,100,8,13890,1689,41,959,0.9774658027357811
170,100,9,13963,1719,41,987,0.9775836138365681
171,100,9,14037,1731,42,995,0.9775593075443471
172,100,9,14119,1733,42,995,0.977689638076351
173,100,9,14204,1739,42,995,0.977823148408899
174,100,9,14266,1771,43,1023,0.9771484648815365
175,100,8,14355,1777,43,1023,0.9772901428073841
176,100,9,14439,1783,43,1023,0.9774222591592215
177,100,9,14522,1794,43,1028,0.9775513014736262
178,100,9,14605,1827,43,1059,0.9776788770968846
179,100,9,14691,1835,43,1059,0.9778095432577769
180,100,9,14766,1852,43,1074,0.9779222538263579
181,100,8,14827,1892,43,1108,0.9780130842382141
182,100,9,14910,1894,43,1108,0.9781354795439302
183,100,9,14994,1896,43,1108,0.9782579698546086
184,100,9,15074,1908,43,1114,0.9783733581000398
185,100,9,15162,1910,43,1114,0.978498878775887
186,100,9,15231,1932,43,1132,0.9785962838946884
187,100,8,15319,1934,44,1132,0.9782622886611397
188,100,9,15402,1943,44,1139,0.9783794312426958
189,100,9,15486,1947,44,1139,0.9784967067028284
190,100,9,15568,1953,45,1139,0.9783530318602262
191,100,9,15656,1959,46,1139,0.9780275932549821
192,100,9,15742,1965,46,1139,0.9781476305424978
193,100,8,15831,1971,46,1139,0.9782704819657634
194,100,9,15918,1975,47,1139,0.9773212715165221
195,100,9,16000,1979,47,1139,0.9774375
196,100,9,16081,1991,47,1145,0.9775511473167091
197,100,9,16169,1997,47,1145,0.9776733254994124
198,100,9,16250,2005,47,1149,0.9777846153846154
199,100,8,16340,2009,48,1149,0.9769889840881273
200,100,9,16406,2041,48,1179,0.9770815555284652
201,100,9,16494,2047,48,1179,0.9772038316963745
202,100,9,16577,2053,48,1179,0.9773179706822707
203,100,9,16663,2055,48,1179,0.9774350357078557
204,100,9,16740,2067,48,1185,0.9775388291517324
205,100,8,16828,2071,48,1185,0.9776562871404801
206,100,9,16907,2092,49,1200,0.9773466611462708
207,100,9,16994,2100,49,1200,0.9774626338707779
208,100,9,17063,2125,50,1217,0.97720213327082
209,100,9,17149,2129,50,1217,0.9773164616012595
210,100,9,17234,2131,50,1217,0.9774283393292329
211,100,8,17323,2131,50,1217,0.9775443052589043
212,100,9,17407,2137,50,1217,0.9776526684667088
213,100,9,17475,2162,50,1238,0.9777396280400572
214,100,9,17557,2173,50,1245,0.9778435951472347
215,100,9,17630,2200,50,1270,0.9779353374929098
216,100,9,17716,2210,50,1270,0.9780424475050802
217,100,8,17800,2212,51,1270,0.977752808988764
218,100,9,17887,2212,51,1270,0.9778610163806116
219,100,9,17975,2216,52,1270,0.9770236439499305
220,100,9,18058,2227,52,1273,0.9771292501938199
221,100,9,18133,2245,52,1291,0.9772238460265814
222,100,9,18205,2266,52,1308,0.9773139247459489
223,100,8,18288,2268,52,1308,0.9774168853893264
224,100,9,18372,2274,52,1308,0.9775201393424777
225,100,9,18454,2282,53,1308,0.9773490842093855
226,100,9,18524,2304,53,1328,0.9774346793349169
227,100,9,18610,2306,53,1328,0.9775389575497044
228,100,9,18694,2327,53,1347,0.9776398844549054
229,100,8,18769,2350,53,1370,0.9777292343758325
230,100,9,18851,2356,53,1370,0.9778261100206885
231,100,9,18938,2362,54,1370,0.9775583482944344
232,100,9,19025,2368,54,1370,0.9776609724047306
233,100,9,19112,2374,55,1370,0.9774487233151946
234,100,8,19190,2383,55,1377,0.9775403856175091
235,100,8,19261,2407,55,1395,0.9776231763667514
236,100,9,19336,2412,55,1400,0.9777099710384775
237,100,9,19426,2414,55,1400,0.9778132399876455
238,100,9,19515,2418,55,1400,0.9779144248014348
239,100,9,19599,2437,55,1419,0.9780090820960253
240,100,8,19684,2439,55,1419,0.9781040438935176
241,100,8,19760,2457,55,1431,0.9781882591093117
242,100,9,19844,2465,56,1437,0.9781798024591816
243,100,9,19929,2472,56,1442,0.9782728686838276
244,100,9,20001,2486,56,1452,0.9783510824458777
245,100,9,20087,2490,56,1452,0.9784437696022303
246,100,8,20165,2505,56,1463,0.9785271510042153
247,100,8,20251,2511,56,1463,0.9786183398350699
248,100,8,20323,2520,56,1472,0.9786940904394036
249,100,9,20404,2534,56,1478,0.9787786708488532
250,100,9,20482,2543,56,1485,0.9788594863782833
251,100,9,20573,2543,57,1485,0.9786613522578136
252,100,8,20658,2553,57,1485,0.9787491528705586
253,100,8,20743,2553,57,1485,0.9788362339102348
254,100,8,20834,2555,57,1485,0.9789286742824229
255,100,9,20907,2572,57,1496,0.9790022480508921
256,100,8,20994,2574,57,1496,0.9790892635991235
257,100,9,21062,2597,57,1517,0.9791567752350204
258,100,8,21138,2608,57,1528,0.979231715394077
259,100,8,21218,2614,57,1528,0.979310019794514
260,100,8,21301,2622,57,1528,0.9793906389371391
261,100,9,21388,2626,58,1528,0.9791939405273985
262,100,8,21463,2651,58,1551,0.9792666449238224
263,100,9,21548,2657,58,1551,0.9793484314089475
264,100,8,21634,2665,58,1551,0.9794305260238514
265,100,8,21723,2667,59,1551,0.979192560880173
266,100,8,21810,2669,60,1551,0.9787712058688675
267,100,9,21894,2671,60,1551,0.9788526536950762
268,100,8,21968,2685,60,1563,0.9789238892935178
269,100,9,22055,2691,60,1563,0.9790070278848334
270,100,8,22127,2709,60,1575,0.9790753378225697
271,100,8,22216,2711,61,1575,0.9788440763413756
272,100,8,22302,2715,61,1575,0.9789256568917586
273,100,9,22390,2717,61,1575,0.9790084859312193
274,100,8,22466,2747,61,1595,0.9790794979079498
275,100,9,22542,2758,61,1604,0.9791500310531452
276,100,8,22627,2764,61,1604,0.9792283555044858
277,100,8,22710,2768,61,1604,0.979304271246147
278,100,8,22791,2775,61,1607,0.979377824579878
279,100,9,22879,2779,61,1607,0.9794571441059486
280,100,8,22968,2785,61,1607,0.9795367467781261
281,100,9,23054,2793,62,1607,0.9794395766461351
282,100,8,23143,2799,62,1607,0.9795186449466361
283,100,8,23230,2803,62,1607,0.9795953508394317
284,100,8,23307,2813,62,1617,0.9796627622602652
285,100,9,23390,2817,62,1617,0.9797349294570329
286,100,8,23476,2821,62,1617,0.9798091668086556
287,100,9,23563,2823,62,1617,0.9798837159954166
288,100,8,23639,2841,62,1627,0.9799483903718431
289,100,8,23726,2851,62,1627,0.9800219168844306
290,100,8,23808,2857,62,1627,0.9800907258064516
291,100,9,23895,2857,62,1627,0.9801632140615192
292,100,8,23983,2859,63,1627,0.9799441270900221
293,100,9,24068,2861,63,1627,0.9800149576200764
294,100,8,24153,2873,63,1627,0.9800852896120564
295,100,8,24242,2879,64,1627,0.9798696477188351
296,100,8,24329,2883,64,1627,0.9799416334415718
297,100,9,24419,2885,64,1627,0.9800155616528113
298,100,8,24497,2893,64,1635,0.9800791933706168
299,100,9,24573,2905,64,1647,0.9801408049485207
300,100,8,24657,2911,64,1647,0.9802084600721904
301,100,8,24735,2923,64,1653,0.9802708712350919
302,100,8,24823,2929,64,1653,0.9803408129557265
303,100,9,24906,2931,64,1653,0.9804063277924998
304,100,8,24988,2937,64,1653,0.9804706259004322
305,100,9,25076,2940,65,1654,0.980299888339448
306,100,8,25153,2951,65,1665,0.9803601956029102
307,100,8,25243,2955,65,1665,0.9804302182783345
308,100,8,25321,2969,65,1675,0.9804905019548991
309,100,9,25395,2984,65,1684,0.9805473518409136
310,100,8,25486,2984,65,1684,0.9806168092285961
311,100,9,25568,2996,66,1690,0.9806398623279099
312,100,8,25649,2996,66,1690,0.9807010019883816
313,100,8,25734,3004,66,1690,0.9807647470272791
314,100,8,25813,3019,66,1697,0.9808236160074381
315,100,9,25902,3023,66,1697,0.9808895066018068
316,100,8,25990,3027,66,1697,0.9809542131589073
317,100,9,26077,3033,66,1697,0.9810177551098669
318,100,8,26164,3035,66,1697,0.9810808744840238
319,100,8,26248,3035,66,1697,0.9811414202986894
320,100,8,26325,3046,66,1708,0.9811965811965812
321,100,9,26408,3050,66,1708,0.9812556800969403
322,100,8,26491,3060,66,1708,0.9813144086670945
323,100,9,26579,3066,67,1708,0.9811129086873095
324,100,8,26656,3083,67,1721,0.9811674669867947
325,100,8,26739,3093,67,1721,0.9812259246793074
326,100,8,26823,3095,67,1721,0.9812847183387391
327,100,9,26911,3101,67,1721,0.981345918026086
328,100,8,26995,3109,68,1721,0.9809964808297833
329,100,9,27081,3111,68,1721,0.9810568295114656
330,100,8,27162,3122,68,1726,0.9811133200795229
331,100,8,27253,3124,68,1726,0.9811763842512751
332,100,8,27337,3130,68,1726,0.9812342246771775
333,100,9,27426,3132,69,1726,0.981039889156275
334,100,8,27516,3134,69,1726,0.981101904346562
335,100,9,27585,3158,69,1744,0.9811491752764183
336,100,8,27669,3164,69,1744,0.9812064042791572
337,100,8,27758,3164,69,1744,0.9812666618632466
338,100,8,27843,3170,69,1744,0.9813238515964515
339,100,9,27930,3170,69,1744,0.9813820264948084
340,100,8,28009,3183,69,1755,0.9814345388982113
341,100,9,28094,3187,70,1755,0.9810635722930163
342,100,8,28184,3189,71,1755,0.9808401930173148
343,100,8,28274,3193,71,1755,0.980901181297305
344,100,8,28354,3197,71,1755,0.9809550680679975
345,100,9,28440,3201,71,1755,0.9810126582278481
346,100,8,28531,3203,71,1755,0.9810732186043252
347,100,9,28617,3205,71,1755,0.9811300974944963
348,100,8,28703,3207,71,1755,0.981186635543323
349,100,8,28792,3211,72,1755,0.98110586273965
350,100,8,28876,3215,73,1755,0.980953040587339
351,100,9,28960,3219,73,1755,0.9810082872928176
352,100,8,29047,3225,73,1755,0.981065170241333
353,100,9,29126,3236,73,1762,0.9811165281878734
354,100,8,29209,3238,73,1762,0.9811701872710465
355,100,8,29281,3263,73,1785,0.9812164885079061
356,100,8,29364,3267,74,1785,0.9810652499659447
357,100,9,29452,3269,74,1785,0.9811218253429309
358,100,8,29534,3279,74,1785,0.9811742398591454
359,100,9,29619,3285,74,1785,0.9812282656402984
360,100,8,29698,3312,74,1806,0.9812782005522257
361,100,8,29785,3316,75,1806,0.9808292764814504
362,100,8,29872,3316,75,1806,0.9808851098018211
363,100,9,29954,3350,75,1840,0.9809374374040195
364,100,8,30040,3354,75,1840,0.9809920106524633
365,100,9,30122,3364,75,1846,0.9810437553947281
366,100,8,30208,3366,75,1846,0.9810977224576272
367,100,8,30293,3370,76,1846,0.9808206516356914
368,100,8,30379,3374,76,1846,0.9808749465091017
369,100,9,30457,3390,76,1862,0.9809239255343599
370,100,8,30540,3396,77,1862,0.9806155861165684
371,100,9,30624,3406,77,1866,0.9806687565308255
372,100,8,30706,3408,77,1866,0.9807203803816844
373,100,8,30792,3418,77,1866,0.9807742270719667
374,100,8,30882,3420,77,1866,0.9808302571077003
375,100,9,30954,3437,77,1877,0.9808748465464884
376,100,8,31039,3439,77,1877,0.980927220593447
377,100,9,31123,3443,77,1877,0.9809786974263407
378,100,8,31211,3447,78,1877,0.9808400884303611
379,100,8,31302,3447,79,1877,0.9806721615232253
380,100,8,31388,3453,80,1877,0.980279087549382
381,100,9,31477,3457,81,1877,0.9802395399815739
382,100,8,31556,3461,81,1877,0.9802890100139434
383,100,9,31643,3465,81,1877,0.9803432038681541
384,100,8,31731,3471,82,1877,0.98020862878573
385,100,8,31821,3471,82,1877,0.9802646051349737
386,100,8,31904,3479,83,1877,0.9801278836509528
387,100,9,31985,3492,83,1884,0.980178208535251
388,100,8,32067,3498,83,1884,0.9802288957495244
389,100,9,32154,3506,83,1884,0.9802823909933446
390,100,8,32224,3532,83,1904,0.9803252234359484
391,100,8,32298,3545,83,1913,0.9803703015666605
392,100,8,32385,3551,83,1913,0.9804230353558746
393,100,9,32473,3557,83,1913,0.98047608782681
394,100,8,32552,3563,83,1913,0.9805234701400836
395,100,9,32632,3577,84,1917,0.9804179946065212
396,100,8,32702,3599,84,1939,0.9804599107088251
397,100,8,32771,3619,84,1955,0.9805010527600623
398,100,8,32861,3621,84,1955,0.980554456650741
399,100,9,32948,3629,84,1955,0.980605803083647
400,100,8,33028,3631,84,1955,0.9806527794598523
401,100,9,33109,3637,84,1955,0.9807001117520916
402,100,8,33190,3645,84,1961,0.9807472130159687
403,100,8,33273,3647,84,1961,0.9807952393832837
404,100,8,33354,3676,85,1988,0.9804821010973197
405,100,9,33445,3676,85,1988,0.9805352070563612
406,100,8,33534,3680,85,1988,0.980586867060297
407,100,9,33619,3680,85,1988,0.9806359499092775
408,100,8,33696,3687,85,1995,0.9806801994301995
409,100,8,33777,3690,85,1998,0.9807265298872013
410,100,8,33861,3694,86,1998,0.980449484657866
411,100,9,33951,3696,86,1998,0.9805013107124975
412,100,8,34035,3704,87,1998,0.9804025268106361
413,100,9,34125,3706,87,1998,0.9804542124542125
414,100,8,34199,3749,87,2035,0.9804965057457821
415,100,8,34290,3749,88,2035,0.9802274715660543
416,100,8,34370,3768,88,2052,0.9802734943264475
417,100,9,34450,3772,88,2052,0.9803193033381713
418,100,8,34535,3776,88,2052,0.9803677428695526
419,100,9,34619,3784,88,2052,0.9804153788382103
420,100,8,34706,3790,88,2052,0.9804644730017864
421,100,8,34790,3804,88,2052,0.9805116412762288
422,100,8,34865,3816,88,2064,0.980553563745877
423,100,8,34945,3824,89,2064,0.9805408499069967
424,100,8,35026,3832,89,2064,0.980585850511049
425,100,9,35111,3836,89,2064,0.9806328501039561
426,100,8,35195,3840,90,2064,0.9803097030828243
427,100,8,35282,3846,90,2064,0.9803582563346749
428,100,8,35366,3848,90,2064,0.9804049086693435
429,100,8,35455,3852,90,2064,0.9804540967423495
430,100,8,35533,3869,90,2077,0.9804970027861425
431,100,9,35623,3871,90,2077,0.9805462762821773
432,100,8,35707,3881,90,2077,0.9805920407763183
433,100,8,35793,3891,90,2077,0.9806386723661051
434,100,8,35883,3891,91,2077,0.9804921550594989
435,100,8,35966,3903,91,2077,0.9805371739976645
436,100,8,36051,3907,91,2077,0.9805830628831378
437,100,8,36118,3929,91,2097,0.9806190818982224
438,100,8,36205,3929,91,2097,0.9806656539152051
439,100,8,36292,3931,91,2097,0.9807120026452111
440,100,8,36381,3933,91,2097,0.9807591874879745
441,100,8,36463,3935,91,2097,0.9808024572854674
442,100,8,36548,3943,91,2097,0.9808471051767539
443,100,8,36634,3947,91,2097,0.9808920674782988
444,100,8,36709,3961,91,2107,0.9809311068130431
445,100,8,36789,3969,91,2109,0.9809725733235478
446,100,8,36879,3971,91,2109,0.9810190081075951
447,100,8,36961,3977,91,2109,0.9810611184762317
448,100,8,37044,3981,91,2109,0.981103552532124
449,100,8,37127,3987,91,2109,0.9811457968594285
450,100,8,37213,3991,91,2109,0.9811893693064252
451,100,8,37286,4011,91,2127,0.9812261975004023
452,100,8,37360,4025,91,2137,0.9812633832976445
453,100,8,37449,4029,91,2137,0.9813079120937809
454,100,8,37535,4033,91,2137,0.9813507393099774
455,100,8,37617,4039,91,2137,0.9813913921897015
456,100,8,37700,4041,91,2137,0.9814323607427056
457,100,8,37788,4049,91,2137,0.9814756007198052
458,100,8,37872,4057,92,2137,0.9812526404731728
459,100,8,37955,4063,92,2137,0.9812936372019497
460,100,8,38043,4065,92,2137,0.9813369082354179
461,100,8,38131,4071,92,2137,0.9813799795442029
462,100,8,38213,4080,92,2144,0.9814199356240023
463,100,8,38301,4082,92,2144,0.9814626249967364
464,100,8,38384,4088,92,2144,0.9815027094622759
465,100,8,38470,4098,92,2144,0.9815440603067325
466,100,8,38553,4100,92,2144,0.9815837937384899
467,100,8,38622,4114,92,2154,0.9816166951478432
468,100,8,38709,4114,92,2154,0.9816580123485494
469,100,8,38781,4146,92,2176,0.9816920657022769
470,100,8,38860,4148,93,2176,0.9816520844055584
471,100,8,38946,4156,93,2176,0.9816926000102706
472,100,8,39031,4166,93,2176,0.9817324690630524
473,100,8,39112,4168,94,2176,0.9815146246676212
474,100,8,39198,4174,94,2176,0.9815551813868054
475,100,8,39282,4178,94,2176,0.9815946234916756
476,100,8,39365,4180,94,2176,0.9816334307125619
477,100,8,39440,4200,94,2190,0.9816683569979716
478,100,8,39524,4209,94,2197,0.9817073170731707
479,100,8,39606,4213,95,2197,0.981517951825481
480,100,8,39694,4215,95,2197,0.9815589257822341
481,100,8,39774,4225,95,2197,0.9815960174988686
482,100,8,39861,4233,95,2197,0.9816361857454655
483,100,8,39935,4253,95,2211,0.9816702140979091
484,100,8,40026,4255,95,2211,0.9817118872732724
485,100,8,40114,4259,96,2211,0.9816024330657626
486,100,8,40199,4263,96,2211,0.9816413343615513
487,100,8,40285,4269,96,2211,0.9816805262504654
488,100,8,40366,4279,96,2221,0.9817172868255463
489,100,8,40452,4287,96,2221,0.9817561554434886
490,100,8,40532,4291,97,2221,0.9813480706602191
491,100,8,40613,4293,97,2221,0.9813852707261221
492,100,8,40701,4297,97,2221,0.9814255178005454
493,100,8,40785,4299,97,2221,0.9814637734461199
494,100,8,40869,4308,97,2228,0.9815018718343977
495,100,8,40956,4316,97,2228,0.9815411661295048
496,100,8,41040,4318,97,2228,0.9815789473684211
497,100,8,41128,4324,97,2228,0.981618362186345
498,100,8,41212,4334,97,2228,0.9816558283994953
499,100,8,41297,4340,97,2228,0.9816935854904715
500,100,8,41383,4342,97,2228,0.9817316289297537
501,100,8,41462,4352,97,2234,0.9817664367372534
502,100,8,41543,4352,98,2234,0.9814168451965434
503,100,8,41625,4360,98,2234,0.9814534534534535
504,100,8,41705,4366,98,2234,0.981489030092315
505,100,8,41791,4370,99,2234,0.9812399798999785
506,100,8,41878,4372,99,2234,0.9812789531496251
507,100,8,41962,4376,99,2234,0.9813164291501835
508,100,8,42049,4382,99,2234,0.9813550857333111
509,100,8,42133,4388,99,2234,0.9813922578501412
510,100,8,42214,4394,99,2234,0.9814279622873928
511,100,8,42280,4413,99,2249,0.9814569536423841
512,100,8,42364,4419,99,2249,0.9814937210839392
513,100,8,42454,4423,99,2249,0.9815329533141753
514,100,8,42535,4436,99,2256,0.9815681203714588
515,100,8,42621,4442,99,2256,0.9816053119354309
516,100,8,42701,4448,99,2256,0.9816397742441629
517,100,8,42781,4450,99,2256,0.9816741076646175
518,100,8,42857,4463,99,2265,0.9817066056886856
519,100,8,42943,4471,99,2265,0.981743241040449
520,100,8,43027,4473,100,2265,0.9816161944825342
521,100,8,43111,4483,100,2265,0.9816520145670479
522,100,8,43194,4489,100,2265,0.9816872713802843
523,100,8,43278,4495,100,2265,0.981722815287213
524,100,8,43362,4499,101,2265,0.9815506664821734
525,100,8,43446,4505,101,2265,0.9815863370621001
526,100,8,43536,4509,101,2265,0.9816244027930908
527,100,8,43626,4511,101,2265,0.9816623114656398
