round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,5,28,0,0,0,1.0
2,100,5,111,4,0,0,1.0
3,100,5,182,8,0,0,1.0
4,100,5,238,10,0,0,1.0
5,100,5,310,12,0,0,1.0
6,100,5,383,22,0,0,1.0
7,100,5,452,28,1,0,0.9845132743362832
8,100,5,527,30,2,0,0.9544592030360531
9,100,5,601,42,2,0,0.9600665557404326
10,100,5,666,46,2,0,0.963963963963964
11,100,5,735,50,2,0,0.9673469387755103
12,100,5,800,58,2,0,0.97
13,100,5,858,66,2,0,0.972027972027972
14,100,5,907,84,2,10,0.9735391400220507
15,100,5,980,84,2,10,0.9755102040816327
16,100,5,1041,104,2,22,0.9769452449567724
17,100,5,1113,112,2,22,0.9784366576819407
18,100,5,1170,116,2,22,0.9794871794871794
19,100,5,1244,122,2,22,0.9807073954983923
20,100,5,1327,128,2,22,0.9819140919366993
21,100,5,1393,132,2,22,0.9827709978463748
22,100,5,1447,134,2,22,0.9834139599170698
23,100,5,1497,136,2,22,0.9839679358717435
24,100,5,1538,155,2,35,0.9843953185955787
25,100,5,1598,159,2,35,0.9849812265331664
26,100,5,1663,161,2,35,0.9855682501503308
27,100,5,1730,161,2,35,0.9861271676300578
28,100,5,1770,191,2,59,0.9864406779661017
29,100,5,1846,197,2,59,0.9869989165763814
30,100,5,1918,203,2,59,0.9874869655891554
31,100,5,1993,207,2,59,0.9879578524836929
32,100,5,2052,213,2,59,0.9883040935672515
33,100,5,2122,219,2,59,0.9886899151743638
34,100,5,2179,227,2,59,0.9889857732905002
35,100,5,2256,231,2,59,0.9893617021276596
36,100,5,2309,239,2,59,0.9896058899956691
37,100,5,2378,245,2,59,0.9899074852817493
38,100,5,2443,247,2,59,0.9901760130986492
39,100,5,2502,253,2,59,0.9904076738609112
40,100,5,2561,263,2,59,0.9906286606794221
41,100,5,2623,263,2,59,0.9908501715592832
42,100,5,2681,269,2,59,0.9910481163744871
43,100,5,2733,277,2,59,0.991218441273326
44,100,5,2804,281,2,59,0.9914407988587732
45,100,5,2861,283,2,59,0.9916113247116393
46,100,5,2925,287,2,59,0.9917948717948718
47,100,5,3003,289,2,59,0.9920079920079921
48,100,5,3073,297,2,65,0.9921900423039375
49,100,5,3144,301,2,65,0.9923664122137404
50,100,5,3213,307,2,65,0.992530345471522
51,100,5,3280,311,2,65,0.9926829268292683
52,100,5,3332,313,2,65,0.992797118847539
53,100,5,3395,326,2,74,0.9929307805596466
54,100,5,3465,334,2,74,0.9930735930735931
55,100,5,3526,334,2,74,0.9931934203062961
56,100,5,3606,340,2,74,0.9933444259567388
57,100,5,3672,340,2,74,0.9934640522875817
58,100,5,3729,342,2,74,0.9935639581657281
59,100,5,3801,344,2,74,0.9936858721389108
60,100,5,3879,344,2,74,0.9938128383604021
61,100,5,3930,346,2,74,0.9938931297709923
62,100,5,3990,348,2,74,0.9939849624060151
63,100,5,4049,352,3,74,0.9920968140281551
64,100,5,4105,354,3,74,0.992204628501827
65,100,5,4151,358,3,74,0.9922910142134426
66,100,5,4220,358,3,74,0.9924170616113744
67,100,5,4295,362,3,74,0.9925494761350407
68,100,5,4355,364,3,74,0.9926521239954076
69,100,5,4417,370,3,74,0.992755263753679
70,100,5,4482,372,3,74,0.9928603302097277
71,100,5,4547,376,3,74,0.9929623927864526
72,100,5,4611,376,3,74,0.9930600737367166
73,100,5,4682,378,3,74,0.9931653139683896
74,100,5,4757,380,3,74,0.9932730712634013
75,100,5,4813,384,3,74,0.993351340120507
76,100,5,4874,384,3,74,0.993434550677062
77,100,5,4915,386,3,74,0.9934893184130213
78,100,5,4964,390,3,74,0.9935535858178888
79,100,5,5018,396,3,74,0.9936229573535273
80,100,5,5100,398,3,74,0.9937254901960785
81,100,5,5174,400,3,74,0.9938152299961345
82,100,5,5248,410,3,74,0.9939024390243902
83,100,5,5307,416,3,74,0.9939702280007537
84,100,5,5388,420,3,74,0.994060876020787
85,100,5,5440,422,3,74,0.9941176470588236
86,100,5,5514,426,3,74,0.9941965904969169
