round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,13,67,5,0,3,1.0
2,100,19,138,17,0,9,1.0
3,100,16,207,37,0,19,1.0
4,100,9,277,48,2,26,0.9458483754512635
5,100,7,360,50,2,26,0.9583333333333334
6,100,7,438,54,2,26,0.9657534246575342
7,100,7,488,74,2,44,0.9692622950819673
8,100,10,545,81,2,51,0.9724770642201835
9,100,13,625,83,2,51,0.976
10,100,7,697,89,2,57,0.9784791965566715
11,100,7,777,93,2,59,0.9806949806949807
12,100,12,859,98,2,62,0.9825378346915018
13,100,7,938,100,2,62,0.9840085287846482
14,100,11,1009,104,3,62,0.9781962338949455
15,100,9,1080,114,3,68,0.9796296296296296
16,100,7,1144,116,4,68,0.9763986013986014
17,100,7,1217,120,4,68,0.9778142974527527
18,100,8,1290,122,4,68,0.9790697674418605
19,100,7,1360,126,4,68,0.9801470588235294
20,100,10,1429,128,4,68,0.9811056682995102
21,100,12,1489,153,4,89,0.9818670248488919
22,100,9,1567,155,5,89,0.9757498404594767
23,100,10,1644,164,7,94,0.9750608272506083
24,100,7,1714,183,7,105,0.9760793465577596
25,100,7,1787,183,7,105,0.9770565193060996
26,100,7,1858,187,7,105,0.9779332615715823
27,100,8,1929,191,7,105,0.9787454639709694
28,100,12,2000,200,7,112,0.9795
29,100,8,2071,211,7,115,0.9802028005794302
30,100,7,2140,218,7,122,0.9808411214953271
31,100,9,2202,237,7,137,0.9813805631244323
32,100,9,2276,241,7,137,0.9819859402460457
33,100,8,2358,257,7,151,0.9826123833757422
34,100,9,2428,270,7,162,0.9831136738056013
35,100,7,2491,270,8,162,0.9747089522280209
36,100,7,2566,282,8,170,0.975448168355417
37,100,13,2632,286,9,170,0.9741641337386018
38,100,9,2716,294,9,170,0.9749631811487481
39,100,8,2787,300,9,170,0.9756010046645138
40,100,12,2863,312,9,176,0.9762486901851205
41,100,7,2940,331,11,193,0.9673469387755103
42,100,7,3020,335,11,193,0.9682119205298013
43,100,8,3097,337,11,193,0.9690022602518567
44,100,14,3172,343,11,193,0.969735182849937
45,100,9,3254,347,11,193,0.9704978488014752
46,100,8,3336,347,11,193,0.9712230215827338
47,100,7,3384,393,12,235,0.9704491725768322
48,100,10,3469,393,12,235,0.9711732487748631
49,100,7,3546,402,12,242,0.9717992103778906
50,100,7,3628,402,12,242,0.9724366041896362
51,100,12,3701,404,12,242,0.9729802756011888
52,100,12,3780,406,13,242,0.9711640211640211
53,100,7,3845,429,13,261,0.9716514954486346
54,100,9,3919,429,13,261,0.9721867823424343
55,100,11,3975,440,13,268,0.9725786163522012
56,100,7,4046,452,13,274,0.9730598121601581
57,100,12,4113,462,13,274,0.9734986627765622
58,100,11,4197,462,13,274,0.9740290683821777
59,100,6,4246,470,13,280,0.9743287800282618
60,100,10,4329,470,14,280,0.972972972972973
61,100,8,4390,472,14,280,0.9733485193621868
62,100,6,4448,505,14,311,0.9736960431654677
63,100,7,4508,523,14,327,0.9740461401952085
64,100,11,4575,529,14,327,0.9744262295081967
65,100,7,4645,541,14,333,0.9748116254036598
66,100,7,4721,545,14,333,0.9752171150180047
67,100,12,4798,547,15,333,0.9731137974155898
68,100,7,4848,568,16,350,0.971947194719472
69,100,7,4918,576,16,356,0.9723464823098821
70,100,12,4979,580,16,356,0.9726852781683069
71,100,9,5029,614,16,388,0.972956850268443
72,100,9,5100,622,16,392,0.9733333333333334
73,100,12,5182,624,16,392,0.9737553068313393
74,100,7,5252,630,16,392,0.9741051028179741
75,100,6,5324,632,16,392,0.9744552967693464
76,100,8,5400,632,16,392,0.9748148148148148
77,100,8,5468,636,16,392,0.9751280175566935
78,100,10,5544,646,17,400,0.9745670995670995
79,100,11,5600,658,17,406,0.9748214285714286
80,100,12,5680,669,17,411,0.9751760563380282
81,100,8,5747,682,17,418,0.9754654602401253
82,100,7,5810,702,17,436,0.9757314974182444
83,100,7,5882,704,17,436,0.9760285617137028
84,100,8,5939,706,18,436,0.9759218723690857
85,100,11,6013,715,18,443,0.9762181939131881
86,100,9,6091,719,19,443,0.9757018551961911
87,100,8,6154,721,19,443,0.9759506012349691
88,100,8,6221,723,19,443,0.9762096126024755
89,100,12,6303,729,19,443,0.9765191178803744
90,100,8,6370,739,19,447,0.9767660910518053
91,100,11,6452,743,19,447,0.977061376317421
92,100,7,6516,750,19,454,0.9772866789441375
93,100,11,6595,750,20,454,0.976497346474602
94,100,7,6683,750,20,454,0.9768068232829568
95,100,8,6741,756,20,454,0.9770063788755378
96,100,8,6802,803,20,501,0.9772125845339606
97,100,12,6867,820,20,518,0.9774282801805737
98,100,7,6935,826,20,518,0.9776496034607065
99,100,9,7007,828,20,518,0.9778792635935493
100,100,10,7084,837,20,523,0.978119706380576
101,100,7,7143,841,20,523,0.9783004339913202
102,100,11,7215,847,20,523,0.9785169785169785
103,100,7,7265,865,21,537,0.9782518926359257
104,100,7,7322,871,21,537,0.9784211963944277
105,100,8,7388,875,21,537,0.9786139685977261
106,100,8,7433,901,21,561,0.9787434414099287
107,100,10,7486,928,21,584,0.9788939353459791
108,100,8,7555,942,21,594,0.9790866975512905
109,100,7,7615,944,22,594,0.9783322390019698
110,100,12,7695,946,23,594,0.9764782326185835
111,100,8,7752,960,23,608,0.9766511867905057
112,100,11,7829,964,23,608,0.9768808276919146
113,100,7,7902,968,24,608,0.9754492533535813
114,100,10,7982,977,24,611,0.9756953144575294
115,100,7,8052,981,24,611,0.975906607054148
116,100,7,8134,983,25,611,0.9752889107450209
117,100,9,8189,1005,26,627,0.974477958236659
118,100,12,8258,1017,26,637,0.9746912085250666
119,100,9,8332,1019,27,637,0.9739558329332694
120,100,18,8403,1042,28,658,0.973699869094371
121,100,7,8469,1044,28,658,0.9739048293777306
122,100,11,8551,1048,28,658,0.974155069582505
123,100,7,8615,1056,28,664,0.9743470690655833
124,100,7,8663,1060,28,664,0.9744892069721806
125,100,13,8733,1073,28,671,0.9746936905988778
126,100,11,8810,1083,28,679,0.9749148694665153
127,100,14,8883,1089,28,679,0.9751210176742091
128,100,7,8961,1091,28,679,0.9753375739314809
129,100,9,9023,1091,29,679,0.974731242380583
130,100,7,9075,1116,29,702,0.9748760330578512
131,100,8,9161,1120,30,702,0.9736928282938544
132,100,8,9232,1130,31,708,0.973786828422877
133,100,9,9307,1132,31,708,0.9739980659718491
134,100,13,9387,1140,31,708,0.9742196654948333
135,100,7,9453,1157,31,723,0.9743996614831271
136,100,9,9528,1159,31,723,0.9746011754827876
137,100,8,9591,1168,32,730,0.9726827233865082
138,100,14,9659,1183,33,741,0.9714256134175381
139,100,7,9727,1185,33,741,0.9716253726740002
140,100,10,9807,1189,33,741,0.9718568369531967
141,100,9,9885,1193,33,741,0.9720789074355084
142,100,7,9958,1199,33,747,0.9722835910825467
143,100,7,10031,1203,33,747,0.9724852955836906
144,100,8,10096,1207,33,747,0.972662440570523
145,100,11,10163,1220,33,758,0.972842664567549
146,100,12,10244,1223,33,759,0.9730573994533386
147,100,10,10327,1227,34,759,0.9727897743778445
148,100,10,10404,1230,34,760,0.9729911572472126
149,100,7,10466,1241,34,767,0.9731511561245939
150,100,8,10533,1245,35,767,0.9720877242950726
151,100,7,10586,1254,35,774,0.9722274702437181
152,100,7,10648,1274,35,790,0.972389181066867
153,100,13,10729,1278,35,790,0.9725976325845839
154,100,7,10790,1282,36,790,0.9725671918443003
155,100,10,10870,1286,36,790,0.9727690892364306
