round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,8,26,8,0,0,1.0
2,100,8,56,8,0,0,1.0
3,100,8,86,8,0,0,1.0
4,100,8,113,14,0,0,1.0
5,100,8,141,18,0,0,1.0
6,100,8,168,24,0,0,1.0
7,100,8,196,28,0,0,1.0
8,100,8,225,30,0,0,1.0
9,100,8,253,34,0,0,1.0
10,100,8,282,36,0,0,1.0
11,100,8,311,38,0,0,1.0
12,100,8,336,48,0,0,1.0
13,100,8,362,56,0,0,1.0
14,100,8,391,58,0,0,1.0
15,100,8,418,64,0,0,1.0
16,100,8,447,66,0,0,1.0
17,100,8,476,68,0,0,1.0
18,100,8,503,74,0,0,1.0
19,100,8,531,78,0,0,1.0
20,100,8,560,80,0,0,1.0
21,100,8,588,84,0,0,1.0
22,100,8,617,86,0,0,1.0
23,100,8,645,90,0,0,1.0
24,100,8,673,94,0,0,1.0
25,100,8,702,96,0,0,1.0
26,100,8,730,100,0,0,1.0
27,100,8,753,102,0,0,1.0
28,100,8,775,106,0,0,1.0
29,100,8,797,110,0,0,1.0
30,100,8,820,112,0,0,1.0
31,100,8,842,116,0,0,1.0
32,100,8,865,118,0,0,1.0
33,100,8,888,120,0,0,1.0
34,100,8,912,120,0,0,1.0
35,100,8,934,124,0,0,1.0
36,100,8,958,124,0,0,1.0
37,100,8,979,130,0,0,1.0
38,100,8,1003,130,0,0,1.0
39,100,8,1027,130,0,0,1.0
40,100,8,1051,130,0,0,1.0
41,100,8,1073,134,0,0,1.0
42,100,8,1095,138,0,0,1.0
43,100,8,1119,138,0,0,1.0
44,100,8,1143,138,0,0,1.0
45,100,8,1166,140,0,0,1.0
46,100,8,1188,144,0,0,1.0
47,100,8,1211,146,0,0,1.0
48,100,8,1233,150,0,0,1.0
49,100,8,1257,150,0,0,1.0
50,100,8,1279,154,0,0,1.0
51,100,8,1297,176,0,12,1.0
52,100,8,1330,180,1,12,0.9887218045112782
53,100,8,1348,197,1,29,0.9888724035608308
54,100,8,1366,218,1,42,0.9890190336749634
55,100,8,1401,218,1,42,0.9892933618843683
56,100,8,1435,220,2,42,0.978397212543554
57,100,8,1469,222,3,42,0.9673247106875426
58,100,8,1487,241,3,57,0.9677202420981843
59,100,8,1520,245,4,57,0.9578947368421052
60,100,8,1537,266,4,72,0.9583604424202993
61,100,8,1555,283,4,89,0.9588424437299036
62,100,8,1573,302,4,104,0.9593134138588684
63,100,8,1608,302,5,104,0.9496268656716418
64,100,8,1631,304,5,104,0.950337216431637
65,100,8,1660,306,6,104,0.9439759036144578
66,100,8,1676,323,6,115,0.9445107398568019
67,100,8,1693,337,6,127,0.9450679267572357
68,100,8,1709,352,6,140,0.9455822118197776
69,100,8,1737,356,7,140,0.9395509499136442
70,100,8,1753,371,7,153,0.9401026811180833
71,100,8,1770,384,7,166,0.940677966101695
72,100,8,1797,390,8,166,0.9354479688369505
73,100,8,1825,394,8,166,0.9364383561643835
74,100,8,1853,398,8,166,0.9373988127361036
75,100,8,1881,402,8,166,0.9383306751727805
