round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,19,46,30,4,24,0.5652173913043478
2,100,25,107,51,7,31,0.7476635514018691
3,100,12,157,89,8,59,0.7388535031847133
4,100,9,235,103,10,59,0.7148936170212766
5,100,13,306,131,12,63,0.7320261437908496
6,100,10,373,156,12,72,0.7801608579088471
7,100,10,430,197,15,97,0.7674418604651163
8,100,10,505,219,16,97,0.7920792079207921
9,100,10,541,272,18,144,0.7781885397412199
10,100,10,604,288,20,144,0.7715231788079471
11,100,10,682,306,20,144,0.7976539589442815
12,100,9,736,331,20,157,0.8125
13,100,9,780,378,21,186,0.8166666666666667
14,100,9,849,408,21,186,0.8315665488810365
15,100,10,893,448,21,212,0.8398656215005599
16,100,9,970,460,22,212,0.8412371134020619
17,100,9,1038,479,23,217,0.846820809248555
18,100,9,1111,510,23,238,0.8568856885688569
19,100,9,1167,554,23,262,0.8637532133676092
20,100,9,1206,583,24,277,0.8631840796019901
21,100,9,1282,593,24,277,0.8712948517940717
22,100,8,1351,604,25,278,0.8719467061435974
23,100,11,1400,645,25,303,0.8764285714285714
24,100,9,1474,660,25,306,0.8826322930800543
25,100,8,1545,676,25,306,0.8880258899676375
26,100,8,1617,688,26,306,0.8831168831168831
27,100,8,1694,698,26,306,0.8884297520661157
28,100,8,1765,714,26,308,0.8929178470254957
29,100,8,1832,734,26,308,0.8968340611353712
30,100,11,1899,767,26,319,0.9004739336492891
31,100,8,1972,787,26,319,0.904158215010142
32,100,8,2033,803,26,319,0.9070339399901624
33,100,11,2108,815,26,319,0.9103415559772297
34,100,8,2152,831,27,319,0.9070631970260223
35,100,11,2225,841,27,319,0.9101123595505618
36,100,7,2301,853,27,319,0.9130812690134724
37,100,7,2372,863,27,319,0.9156829679595279
38,100,7,2434,881,27,319,0.9178307313064914
39,100,7,2475,897,27,319,0.9191919191919192
40,100,7,2519,920,27,332,0.9206034140531957
41,100,7,2595,938,27,332,0.9229287090558767
42,100,7,2672,954,27,332,0.9251497005988024
43,100,7,2729,964,27,332,0.9267130817149138
44,100,7,2795,980,27,332,0.9284436493738819
45,100,11,2868,998,27,332,0.9302649930264993
46,100,7,2923,1012,27,332,0.9315771467670202
47,100,7,2987,1030,27,332,0.9330431871442919
48,100,8,3045,1067,27,347,0.9343185550082101
49,100,7,3120,1083,27,347,0.9358974358974359
50,100,7,3179,1099,27,347,0.9370871343189683
51,100,7,3248,1117,27,347,0.9384236453201971
52,100,9,3311,1143,27,347,0.9395952884324977
53,100,7,3378,1153,27,347,0.940793368857312
54,100,7,3419,1157,27,347,0.9415033635565955
55,100,7,3459,1177,27,347,0.9421798207574443
56,100,7,3508,1189,27,347,0.942987457240593
57,100,7,3578,1217,27,347,0.9441028507546115
58,100,7,3653,1235,27,347,0.9452504790583083
59,100,8,3721,1261,27,347,0.9462510077936038
60,100,8,3778,1296,27,362,0.9470619375330863
61,100,10,3855,1306,27,362,0.9481193255512321
62,100,7,3920,1318,27,362,0.9489795918367347
63,100,7,3989,1338,27,362,0.9498621208322888
64,100,7,4060,1350,27,362,0.9507389162561576
65,100,7,4116,1372,27,362,0.9514091350826045
66,100,10,4185,1394,27,362,0.9522102747909199
67,100,14,4261,1410,27,362,0.9530626613471016
68,100,7,4332,1416,27,362,0.9538319482917821
69,100,11,4405,1434,27,362,0.9545970488081725
70,100,7,4476,1448,27,362,0.9553172475424486
71,100,7,4542,1468,27,362,0.9559665345662703
72,100,7,4602,1478,27,362,0.9565406345067362
73,100,9,4672,1494,27,362,0.9571917808219178
74,100,7,4739,1520,27,362,0.9577970035872547
75,100,7,4817,1534,27,362,0.9584803819804858
76,100,7,4874,1554,27,362,0.9589659417316373
77,100,7,4956,1568,27,362,0.9596448748991122
78,100,7,5018,1582,27,362,0.9601434834595456
79,100,7,5087,1596,27,362,0.9606840967171221
80,100,10,5161,1614,27,362,0.9612478201898856
81,100,9,5220,1618,27,362,0.9616858237547893
82,100,7,5297,1632,27,362,0.9622427789314707
83,100,7,5357,1648,27,362,0.9626656710845622
84,100,7,5424,1668,27,362,0.9631268436578171
85,100,7,5482,1684,27,362,0.9635169646114556
86,100,7,5536,1702,27,362,0.9638728323699421
87,100,8,5611,1714,27,362,0.964355729816432
88,100,8,5681,1738,27,362,0.9647949304699877
89,100,9,5758,1762,27,362,0.9652657172629385
90,100,7,5835,1778,27,362,0.9657240788346186
91,100,7,5897,1788,27,362,0.9660844497201967
92,100,9,5976,1806,27,362,0.9665327978580991
93,100,9,6053,1816,27,362,0.9669585329588634
94,100,7,6128,1832,27,362,0.9673629242819843
95,100,7,6189,1846,27,362,0.9676846017127161
96,100,7,6266,1864,27,362,0.9680817108203
97,100,8,6340,1884,27,362,0.9684542586750788
98,100,7,6403,1902,27,362,0.9687646415742621
99,100,7,6462,1918,27,362,0.9690498297740637
100,100,8,6534,1948,27,362,0.9693908784817876
101,100,7,6607,1976,27,362,0.969729075223248
102,100,7,6640,1988,27,362,0.9698795180722891
103,100,7,6689,1994,27,362,0.9701001644490955
104,100,7,6741,2000,27,362,0.9703308114523068
105,100,9,6820,2014,27,362,0.9706744868035191
106,100,10,6897,2034,27,362,0.971001884877483
107,100,7,6970,2052,27,362,0.9713055954088953
108,100,7,7022,2072,27,362,0.9715180860153803
109,100,8,7097,2092,27,362,0.9718190784838664
110,100,7,7169,2102,27,362,0.972102106290975
111,100,9,7249,2116,27,362,0.9724099875844944
112,100,7,7322,2132,27,362,0.9726850587271237
113,100,7,7395,2150,27,362,0.9729546991210277
114,100,7,7460,2158,27,362,0.9731903485254692
115,100,7,7509,2162,27,362,0.9733652949793581
116,100,7,7574,2174,27,362,0.9735938737787166
117,100,8,7641,2194,27,362,0.9738254155215286
118,100,9,7714,2210,27,362,0.9740731138190304
119,100,7,7759,2224,27,362,0.9742234824075268
120,100,10,7833,2238,27,362,0.974466998595685
121,100,9,7901,2258,27,362,0.9746867485128464
122,100,7,7957,2276,27,362,0.9748648988312177
123,100,7,8029,2286,27,362,0.9750902976709428
124,100,7,8102,2304,27,362,0.9753147371019502
125,100,7,8175,2330,27,362,0.9755351681957186
126,100,7,8221,2338,27,362,0.9756720593601752
127,100,7,8292,2348,27,362,0.9758803666184274
128,100,7,8373,2362,27,362,0.9761136987937418
129,100,10,8440,2376,27,362,0.976303317535545
130,100,7,8519,2392,27,362,0.976523066087569
131,100,9,8593,2410,27,362,0.9767252414756197
132,100,8,8662,2416,27,362,0.976910644193027
133,100,7,8730,2436,27,362,0.97709049255441
134,100,7,8786,2446,27,362,0.9772365126337355
135,100,7,8849,2464,27,362,0.9773985761102949
136,100,7,8931,2472,27,362,0.9776060911432091
137,100,7,9005,2484,27,362,0.9777901166018879
138,100,7,9072,2502,27,362,0.9779541446208113
139,100,7,9143,2512,27,362,0.9781253417915345
140,100,7,9213,2526,27,362,0.9782915445566048
141,100,7,9270,2538,27,362,0.9784250269687162
142,100,7,9335,2550,27,362,0.9785752544188537
143,100,7,9410,2572,27,362,0.9787460148777896
144,100,7,9479,2586,27,362,0.9789007279248866
145,100,7,9556,2596,27,362,0.9790707408957723
146,100,9,9632,2616,27,362,0.979235880398671
147,100,7,9698,2634,27,362,0.9793771911734378
